"Date","Price","Open","High","Low","Vol.","Change %"
"30-08-2024","25,235.90","25,249.70","25,268.35","25,199.40","638.17M","0.33%"
"29-08-2024","25,151.95","25,035.30","25,192.90","24,998.50","353.99M","0.40%"
"28-08-2024","25,052.35","25,030.80","25,129.60","24,964.65","220.42M","0.14%"
"27-08-2024","25,017.75","25,024.80","25,073.10","24,973.65","223.35M","0.03%"
"26-08-2024","25,010.60","24,906.10","25,043.80","24,874.70","210.27M","0.76%"
"23-08-2024","24,823.15","24,845.40","24,858.40","24,771.65","206.80M","0.05%"
"22-08-2024","24,811.50","24,863.40","24,867.35","24,784.45","220.35B","0.17%"
"21-08-2024","24,770.20","24,680.55","24,787.95","24,654.50","257.11B","0.29%"
"20-08-2024","24,698.85","24,648.90","24,734.30","24,607.20","238.32B","0.51%"
"19-08-2024","24,572.65","24,636.35","24,638.80","24,522.95","243.65B","0.13%"
"16-08-2024","24,541.15","24,334.85","24,563.90","24,204.50","271.61B","1.65%"
"14-08-2024","24,143.75","24,184.40","24,196.50","24,099.70","303.25B","0.02%"
"13-08-2024","24,139.00","24,342.35","24,359.95","24,116.50","239.73B","-0.85%"
"12-08-2024","24,347.00","24,320.05","24,472.80","24,212.10","279.93B","-0.08%"
"09-08-2024","24,367.50","24,386.85","24,419.75","24,311.20","215.13B","1.04%"
"08-08-2024","24,117.00","24,248.55","24,340.50","24,079.70","311.88B","-0.74%"
"07-08-2024","24,297.50","24,289.40","24,337.70","24,184.90","317.56B","1.27%"
"06-08-2024","23,992.55","24,189.85","24,382.60","23,960.40","312.34B","-0.26%"
"05-08-2024","24,055.60","24,302.85","24,350.05","23,893.70","486.99B","-2.68%"
"02-08-2024","24,717.70","24,789.00","24,851.90","24,686.85","345.03B","-1.17%"
"01-08-2024","25,010.90","25,030.95","25,078.30","24,956.40","431.31B","0.24%"
"31-07-2024","24,951.15","24,886.70","24,984.60","24,856.50","333.65B","0.38%"
"30-07-2024","24,857.30","24,839.40","24,971.75","24,798.65","384.99B","0.09%"
"29-07-2024","24,836.10","24,943.30","24,999.75","24,774.60","354.97B","0.01%"
"26-07-2024","24,834.85","24,423.35","24,861.15","24,410.90","383.83B","1.76%"
"25-07-2024","24,406.10","24,230.95","24,426.15","24,210.80","391.82B","-0.03%"
"24-07-2024","24,413.50","24,444.95","24,504.25","24,307.25","366.62B","-0.27%"
"23-07-2024","24,479.05","24,568.90","24,582.55","24,074.20","436.41B","-0.12%"
"22-07-2024","24,509.25","24,445.75","24,595.20","24,362.30","324.19B","-0.09%"
"19-07-2024","24,530.90","24,853.80","24,854.80","24,508.15","343.77B","-1.09%"
"18-07-2024","24,800.85","24,543.80","24,837.75","24,504.45","350.92B","0.76%"
"16-07-2024","24,613.00","24,615.90","24,661.25","24,587.65","283.21B","0.11%"
"15-07-2024","24,586.70","24,587.60","24,635.05","24,522.75","305.40B","0.35%"
"12-07-2024","24,502.15","24,387.95","24,592.20","24,331.15","325.82B","0.77%"
"11-07-2024","24,315.95","24,396.55","24,402.65","24,193.75","306.40B","-0.03%"
"10-07-2024","24,324.45","24,459.85","24,461.05","24,141.80","292.26B","-0.45%"
"09-07-2024","24,433.20","24,351.00","24,443.60","24,331.90","250.54B","0.46%"
"08-07-2024","24,320.55","24,329.45","24,344.60","24,240.55","266.30B","-0.01%"
"05-07-2024","24,323.85","24,213.35","24,363.00","24,168.85","298.38B","0.09%"
"04-07-2024","24,302.15","24,369.95","24,401.00","24,281.00","251.19B","0.06%"
"03-07-2024","24,286.50","24,291.75","24,309.15","24,207.10","289.20B","0.67%"
"02-07-2024","24,123.85","24,228.75","24,236.35","24,056.40","309.63B","-0.07%"
"01-07-2024","24,141.95","23,992.95","24,164.00","23,992.70","242.47B","0.55%"
"28-06-2024","24,010.60","24,085.90","24,174.00","23,985.80","354.78B","-0.14%"
"27-06-2024","24,044.50","23,881.55","24,087.45","23,805.40","515.23B","0.74%"
"26-06-2024","23,868.80","23,723.10","23,889.90","23,670.45","287.82B","0.62%"
"25-06-2024","23,721.30","23,577.10","23,754.15","23,562.05","298.11B","0.78%"
"24-06-2024","23,537.85","23,382.30","23,558.10","23,350.00","239.36B","0.16%"
"21-06-2024","23,501.10","23,661.15","23,667.10","23,398.20","609.88B","-0.28%"
"20-06-2024","23,567.00","23,586.15","23,624.00","23,442.60","280.34B","0.22%"
"19-06-2024","23,516.00","23,629.85","23,664.00","23,412.90","328.81B","-0.18%"
"18-06-2024","23,557.90","23,570.80","23,579.05","23,499.70","272.21B","0.39%"
"14-06-2024","23,465.60","23,464.95","23,490.40","23,334.25","223.09B","0.29%"
"13-06-2024","23,398.90","23,480.95","23,481.05","23,353.90","268.28B","0.33%"
"12-06-2024","23,322.95","23,344.45","23,441.95","23,295.95","295.63B","0.25%"
"11-06-2024","23,264.85","23,283.75","23,389.45","23,206.65","305.19B","0.02%"
"10-06-2024","23,259.20","23,319.15","23,411.90","23,227.15","304.39B","-0.13%"
"07-06-2024","23,290.15","22,821.85","23,320.20","22,789.05","473.55B","2.05%"
"06-06-2024","22,821.40","22,798.60","22,910.15","22,642.60","480.41B","0.89%"
"05-06-2024","22,620.35","22,128.35","22,670.40","21,791.95","638.49B","3.36%"
"04-06-2024","21,884.50","23,179.50","23,179.50","21,281.45","1,006.11B","-5.93%"
"03-06-2024","23,263.90","23,337.90","23,338.70","23,062.30","569.43B","3.25%"
"31-05-2024","22,530.70","22,568.10","22,653.75","22,465.10","572.12B","0.19%"
"30-05-2024","22,488.65","22,617.45","22,705.75","22,417.00","373.37B","-0.95%"
"29-05-2024","22,704.70","22,762.75","22,825.50","22,685.45","269.93B","-0.80%"
"28-05-2024","22,888.15","22,977.15","22,998.55","22,858.50","217.89B","-0.19%"
"27-05-2024","22,932.45","23,038.95","23,110.80","22,871.20","260.01B","-0.11%"
"24-05-2024","22,957.10","22,930.75","23,026.40","22,908.00","261.93B","-0.05%"
"23-05-2024","22,967.65","22,614.10","22,993.60","22,577.45","369.77B","1.64%"
